P1,P2,P3,X,Y
0.0,0.62,0.2,0.015182893543929366,0.20961676008610922
0.37,1.43,0.0,1.9603664048306406,0.15217255848859867
1.13,0.0,1.18,-1.8998876652097982,-0.4291190804523993
1.41,0.84,0.0,0.3430002496503973,-2.2104680597064252
1.7,0.0,1.39,-2.443905690480248,-2.5843208467573664
0.45,0.19,0.0,-0.6363499028170377,0.06247038837677469
0.34,0.0,0.77,-1.361522924351727,0.5697374761395549
1.71,1.79,0.0,1.9032028587569616,-3.2677350549326163
0.04,0.27,0.0,-0.27343411317591193,0.3615839281535309
0.0,1.26,0.6,0.5784356851455603,1.379595093986466
1.78,1.52,0.0,1.5883166586959545,-3.358810093771237
0.0,1.71,1.68,-0.4135503593175439,3.2002069833130373
0.42,0.37,0.0,-0.2324647032915312,0.28803504858741596
0.0,1.22,0.0,0.7732752506532342,0.6572765636898166
0.58,0.0,0.71,-0.7989439632898262,0.597685933421143
0.0,0.74,1.35,-2.0313560110814395,2.307267881426367
0.0,1.62,1.18,0.19449200663233326,3.063327664137677
0.0,1.37,0.15,1.2307847612439307,1.6069655478621743
0.39,0.0,0.0,-0.3656338294491396,0.3870325621237525
1.79,0.0,0.52,-1.5945962281432053,-3.2428733766601585
0.0,1.28,1.67,-2.6526891629747005,2.9180817177157543
0.52,0.0,1.38,-3.303822655459683,1.6920352294176406
0.15,0.0,1.25,-3.0469006185421645,1.4272108903392295
0.0,1.64,1.14,-0.3028821615510205,2.7208521240519756
0.0,0.05,0.08,-0.6094043151685296,0.6711882740323462
0.26,0.0,0.0,-0.535369726882965,0.602899573892257
1.14,0.0,1.71,-4.330106754013714,1.0063576265481242
0.64,1.7,0.0,2.1219057315126664,0.20535049769161454
1.7,0.0,1.51,-3.1814406028192774,-1.7222618486239403
0.1,0.73,0.0,-0.11759226400813788,0.6209264792023836
0.0,0.92,1.37,-1.7003563691828412,2.3140082191758338
0.0,1.41,1.01,-0.11573420437042115,2.1165669419618927
1.66,0.0,1.45,-3.4159753613567356,-0.6829977276007637
0.02,1.43,0.0,1.115179705259627,1.2823968933829892
0.5,0.0,0.06,-0.5035539741400445,0.5412505909292449
0.01,0.0,0.09,-0.31492098975438115,0.632655744205577
0.0,0.94,0.74,-0.397491114787282,1.7830361404834438
0.95,1.33,0.0,1.438416762016502,-0.4078688274383741
0.0,1.26,0.73,0.7173879228639332,1.6799363282743147
0.49,0.68,0.0,0.4310121148265462,0.2969863329751965
1.42,0.0,0.81,-1.689068982331687,-1.1876878522467933
0.0,0.15,0.69,-1.3201094855841675,0.7597697805711445
1.43,0.0,0.14,-0.8817459647695218,-1.8252808810420693
0.0,0.19,0.0,-0.36412591084754686,0.5748227661768472
0.0,1.72,0.94,1.4147841338329685,2.5303080001844434
0.14,0.0,0.36,-0.47577152738278444,0.7365236057630915
0.0,1.48,0.84,0.6934431170817659,2.317557636414518
1.21,1.75,0.0,2.853930235836546,-1.158380982002242
0.42,0.0,1.24,-2.229087094297436,1.7373140645381318
0.0,0.03,1.0,-2.120297928377399,1.5980456400615897
0.75,0.6,0.0,-0.31095849925075547,0.22990563316019635
0.05,0.26,0.0,-0.2788861758286304,0.8755093349304599
0.0,1.26,1.64,-2.2625005599847587,3.730776872287319
0.47,1.52,0.0,1.7096643873209971,1.0077174869277126
1.58,0.0,0.7,-1.3487575655023831,-2.0453830261664843
0.61,0.0,0.14,-0.5487130939535422,-0.2749474467801061
1.16,0.0,0.48,-1.1454435608304276,-1.00222624198163
1.64,0.0,0.87,-2.1071803817127757,-2.4267694574157948
0.0,0.88,0.96,-0.9834824421787787,1.7822098463976328
1.63,0.24,0.0,-1.257861889545094,-2.8513297497352994
0.93,0.45,0.0,-0.6715067447833589,-1.397345910102726
0.61,1.61,0.0,2.1340615999555625,-0.27872025380334486
0.75,0.0,0.75,-1.2412430683804976,0.527902713717165
0.69,0.0,0.72,-1.3228473102308995,0.4177134550328882
0.0,0.7,1.62,-3.3792312948851393,2.7154321703703963
0.0,0.0,0.26,-0.8824607391849271,0.956257038716002
1.37,0.0,0.01,-0.823861203079513,-1.5717451721495879
0.12,0.58,0.0,0.012805359287492019,0.2316547917378201
0.39,0.06,0.0,-0.33270424085165784,0.3517900639723231
0.0,0.64,1.65,-3.3472982776767206,2.7748285576952734
0.0,0.69,0.1,-0.3712206123691778,1.1035285470600427
1.31,0.0,1.24,-2.7335097965222466,0.01187952582818478
0.0,0.92,0.19,-0.04811572227737987,0.9124766189312954
0.69,0.85,0.0,0.19563747974413448,0.11234491053922999
0.17,0.0,1.74,-4.315082893810889,2.6214019622173765
0.02,0.0,1.19,-3.1405705618611637,2.2075036656365548
1.58,0.08,0.0,-1.3424767652233107,-2.39475329014496
0.62,0.0,1.57,-4.046913706259599,1.7024142637705915
0.0,0.08,0.0,-0.8341441120721627,0.7236943890275115
0.63,0.0,1.22,-2.661571698579996,1.0309504318359306
0.0,0.97,0.74,-0.67843969980709,1.870726970915965
0.0,0.8,1.41,-2.257863177405947,2.5253725348665417
0.0,0.0,1.52,-3.4753782634187425,2.2403383260655336
1.08,0.0,0.16,-1.160284691445249,-0.298900489802263
0.19,1.78,0.0,2.450262128372684,0.9623647069599123
0.71,0.0,1.38,-2.986002832144546,1.9870910764896759
1.05,0.41,0.0,-0.781314107123585,-0.3792791588711868
0.23,0.55,0.0,-0.2389235015315348,0.5241430544884508
0.11,1.31,0.0,1.1624076576510671,0.9879099746819111
0.0,1.18,1.28,-0.5844061136853301,2.648656880057454
0.0,1.22,0.77,0.09468029775076195,2.2578437677934398
0.0,0.0,1.52,-3.424389728197491,2.540458035686666
0.96,0.0,1.49,-4.016036022644026,1.5300143443776975
1.36,0.44,0.0,-0.9745714640457909,-1.1973734524500939
1.44,0.29,0.0,-1.126299418102289,-2.068620391053556
0.2,0.0,0.0,-0.4413354741895528,0.6602676900108793
1.53,0.0,0.59,-1.5748629350447327,-1.8217256016885055
1.36,0.0,0.52,-1.4722665262596009,-1.9366546509306142
0.0,0.0,0.12,-0.479250988494739,0.6346718643697846
0.0,1.11,1.19,-1.0627621726263143,2.513313920157881
1.31,0.0,1.46,-3.671771383939146,0.5558616325403443
0.84,0.0,0.66,-1.8817836162660981,0.43049451677100925
0.41,0.0,0.6,-1.4320464976187601,0.6639643764136585
0.0,1.27,1.5,-2.1057138010345797,3.25399727401277
